2019-05-16 08:57:02	 | ::1	 | Heiner	 | class-limited SQL: select app_id , app_name  from application  order by 2  limit 0 , 50	 | /Gold/applications.php
2019-05-16 08:57:02	 | ::1	 | Heiner	 | MySQL result set column count: 2	 | /Gold/applications.php
2019-05-16 08:57:02	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/applications.php
2019-05-16 08:57:02	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/applications.php
2019-05-16 08:57:02	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/applications.php
2019-05-16 08:57:03	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/environments.php
2019-05-16 08:57:03	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/environments.php
2019-05-16 08:57:03	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/environments.php
2019-05-16 08:57:04	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/environments.php
2019-05-16 08:57:04	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/environments.php
2019-05-16 08:57:04	 | ::1	 | Heiner	 | class-limited SQL: select e.env_id, e.app_id , app_name, e.env_class, e.env_name  from environment e LEFT JOIN application as a ON e.app_id=a.app_id WHERE 1=1  order by app_name, e.env_name  limit 0 , 30	 | /Gold/environments.php
2019-05-16 08:57:04	 | ::1	 | Heiner	 | MySQL result set column count: 5	 | /Gold/environments.php
2019-05-16 08:57:04	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php
2019-05-16 08:57:04	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/environments.php
2019-05-16 08:57:04	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php
2019-05-16 08:58:58	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/environments.php
2019-05-16 08:58:58	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/environments.php
2019-05-16 08:58:58	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/environments.php
2019-05-16 08:58:59	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/environments.php
2019-05-16 08:58:59	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/environments.php
